question_number,chapter_number,question,choice_a,choice_b,choice_c,choice_d,answer
1,1,わたしは せんせい（ ）。,ます,です,ません,ました,B
2,1,わたしは まいにち コーヒーを のみ（ ）。,ます,です,ません,ました,A
3,1,これは ほん（ ）。,ます,です,ません,ました,B
4,1,わたしは あした しごとを し（ ）。,ます,です,ません,ました,A
5,1,わたしの かばんは あお＿＿。,ます,です,ません,ました,B
6,1,このいぬはとても（ ）。,おおきいです,おおきくありません,おおきくないです,きれいです,A
7,1,このまちは（ ）。 たくさんの人がいます。,おおきくないです,きれいじゃありません,きれいです,あめです,C
8,1,きのうは（ ）。 さんぽができませんでした。,おおきいです,きれいです,あめです,きれいじゃありません,C
9,1,このへやは（ ）。 もっとひろいへやがほしいです。,a. おおきいです,b. おおきくありません,c. きれいです,d. あめです,B
10,2,これはあなたのかばん（ ）。,ね,よ,か,を,C
11,2,このケーキ、おいしい（ ）！,か,よ,ね,を,B
12,2,A:きょうはさむい（ ）。 B: そうですね。,か,よ,ね,は,C
13,2,A: あした、がっこうへいきます（ ）。B: はい、いきます。,か,ね,よ,を,A
14,2,私は毎朝７時ごろ家（　）でます,を,と,が,で,D
15,2,私は毎日６時に家（　）出ます。,を,と,が,で,A
16,2,父は夜９時ごろ会社（　）帰ります。,で,と,が,に,D
17,2,私は友だち（　）学校へ行きます。,と,を,が,で,A
18,2,妹はバス（　）学校に行きます。,が,で,を,と,B
19,2,私はきのうの夜、家（　）つきました。,で,を,に,が,C
237,31,ごはんを食べてから（ ）。,よみます,食べます,ねます,学校へ行きます,D
238,31,しゅくだいをしてから（ ）。,しゅくだいをします,テレビを見ます,出かけません,学校で勉強します,B
239,31,くつをはいてから（ ）。,外へ行きます,くつをぬぎます,食べます,買い物します,A
240,31,てをあらってから（ ）。,出かけます,あそびます,ねます,ごはんを食べます,D
241,31,おふろに入ってから（ ）。,会社へ行きます,おふろに入ります,ねます,うちに帰ります,C
242,32,図書館で大きい声で（ ）ください。,食べて,話して,よんで,話さないで,D
243,32,ここでたばこを（ ）ください。,すわないで,すって,買って,入らないで,A
244,32,テスト中にケータイを（ ）ください。,見ないで,使って,使わないで,話して,C
